"feature with direction by activity and by subject" "feature with direction" "activity" "subject" "average of means" "average of standard deviations"
"gyro of body x standing 20" "gyro of body in direction x" "standing" "20" "-0.0241335049573973" "-0.886749172739726"
"gyro of body x standing 21" "gyro of body in direction x" "standing" "21" "-0.0191731896359551" "-0.962514526067416"
"gyro of body x standing 22" "gyro of body in direction x" "standing" "22" "-0.0275201762126984" "-0.917837043333333"
"gyro of body x standing 23" "gyro of body in direction x" "standing" "23" "-0.0327397745133823" "-0.942011240294118"
"gyro of body x standing 24" "gyro of body in direction x" "standing" "24" "-0.0278611511434783" "-0.960738660289855"
"gyro of body x standing 25" "gyro of body in direction x" "standing" "25" "-0.0247946750959459" "-0.971357421216216"
"gyro of body x standing 26" "gyro of body in direction x" "standing" "26" "-0.0245345837959459" "-0.973785111216216"
"gyro of body x standing 27" "gyro of body in direction x" "standing" "27" "-0.026731653905" "-0.9699020075"
"gyro of body x standing 28" "gyro of body in direction x" "standing" "28" "-0.0253281543540506" "-0.884032232405063"
"gyro of body x standing 29" "gyro of body in direction x" "standing" "29" "-0.0276075573307692" "-0.977994819846154"
"gyro of body x standing 30" "gyro of body in direction x" "standing" "30" "-0.027613853538983" "-0.911408517966102"
"gyro of body x walking 1" "gyro of body in direction x" "walking" "1" "-0.041830963526" "-0.473535485894737"
"gyro of body x walking 2" "gyro of body in direction x" "walking" "2" "-0.0530258157347458" "-0.561550255762712"
"gyro of body x walking 3" "gyro of body in direction x" "walking" "3" "-0.0256405192517241" "-0.571869560172414"
"gyro of body x walking 4" "gyro of body in direction x" "walking" "4" "-0.0317982557795" "-0.500916659"
"gyro of body x walking 5" "gyro of body in direction x" "walking" "5" "-0.0488919896632143" "-0.490877497857143"
"gyro of body x walking 6" "gyro of body in direction x" "walking" "6" "-0.025509618645614" "-0.446020952631579"
"gyro of body x walking 7" "gyro of body in direction x" "walking" "7" "0.00228835208526316" "-0.503313517017544"
"gyro of body x walking 8" "gyro of body in direction x" "walking" "8" "0.0235088228254167" "-0.1992097184375"
"gyro of body x walking 9" "gyro of body in direction x" "walking" "9" "-0.0808360598653846" "-0.476163506730769"
"gyro of body x walking 10" "gyro of body in direction x" "walking" "10" "0.0106894976215094" "-0.414205475283019"
"gyro of body x walking 11" "gyro of body in direction x" "walking" "11" "-0.0426928995457627" "-0.596346930847458"
"gyro of body x walking 12" "gyro of body in direction x" "walking" "12" "-0.1045136708758" "-0.5462634706"
"gyro of body x walking 13" "gyro of body in direction x" "walking" "13" "-0.0174207634701754" "-0.376059914210526"
"gyro of body x walking 14" "gyro of body in direction x" "walking" "14" "-0.00347655062271186" "-0.60038822220339"
"gyro of body x walking 15" "gyro of body in direction x" "walking" "15" "-0.0554883847662963" "-0.329624620185185"
"gyro of body x walking 16" "gyro of body in direction x" "walking" "16" "-0.0151721912792157" "-0.654171847058823"
"gyro of body x walking 17" "gyro of body in direction x" "walking" "17" "-0.00922265519180328" "-0.47981351295082"
"gyro of body x walking 18" "gyro of body in direction x" "walking" "18" "-0.0399399716026786" "-0.7044397775"
"gyro of body x walking 19" "gyro of body in direction x" "walking" "19" "-0.0274970979894231" "-0.0264357957923077"
"gyro of body x walking 20" "gyro of body in direction x" "walking" "20" "-0.0234104225980392" "-0.23294061427451"
"gyro of body x walking 21" "gyro of body in direction x" "walking" "21" "-0.0459323393842308" "-0.432232883846154"
"gyro of body x walking 22" "gyro of body in direction x" "walking" "22" "0.0007771571" "-0.318537865869565"
"gyro of body x walking 23" "gyro of body in direction x" "walking" "23" "-0.0631156870355932" "-0.494322648644068"
"gyro of body x walking 24" "gyro of body in direction x" "walking" "24" "-0.0545126870724138" "-0.580597373275862"
"gyro of body x walking 25" "gyro of body in direction x" "walking" "25" "-0.0156305378067568" "-0.401158753783784"
"gyro of body x walking 26" "gyro of body in direction x" "walking" "26" "-0.00334085938813559" "-0.492885711355932"
"gyro of body x walking 27" "gyro of body in direction x" "walking" "27" "-0.08558835714" "-0.606860248596491"
"gyro of body x walking 28" "gyro of body in direction x" "walking" "28" "-0.105896207861111" "-0.503798624074074"
"gyro of body x walking 29" "gyro of body in direction x" "walking" "29" "-0.00795668167188679" "-0.598868670943396"
"gyro of body x walking 30" "gyro of body in direction x" "walking" "30" "-0.0459505355861538" "-0.387920593846154"
"gyro of body x walkingdownstairs 1" "gyro of body in direction x" "walkingdownstairs" "1" "-0.0350781902989796" "-0.458030542938775"
"gyro of body x walkingdownstairs 2" "gyro of body in direction x" "walkingdownstairs" "2" "-0.11594735287234" "-0.320789230008511"
"gyro of body x walkingdownstairs 3" "gyro of body in direction x" "walkingdownstairs" "3" "-0.13157327645102" "-0.261653414014286"
"gyro of body x walkingdownstairs 4" "gyro of body in direction x" "walkingdownstairs" "4" "-0.102838822533333" "-0.370244695288889"
"gyro of body x walkingdownstairs 5" "gyro of body in direction x" "walkingdownstairs" "5" "-0.068294569906383" "-0.46064684487234"
"gyro of body x walkingdownstairs 6" "gyro of body in direction x" "walkingdownstairs" "6" "-0.0960837437708333" "-0.19830385328125"
"gyro of body x walkingdownstairs 7" "gyro of body in direction x" "walkingdownstairs" "7" "-0.105409612961702" "-0.407744096"
"gyro of body x walkingdownstairs 8" "gyro of body in direction x" "walkingdownstairs" "8" "-0.121189625973684" "-0.258430885531579"
"gyro of body x walkingdownstairs 9" "gyro of body in direction x" "walkingdownstairs" "9" "-0.0916383011071429" "-0.396429197952381"
"gyro of body x walkingdownstairs 10" "gyro of body in direction x" "walkingdownstairs" "10" "-0.124839594289474" "-0.304745377026316"
"gyro of body x walkingdownstairs 11" "gyro of body in direction x" "walkingdownstairs" "11" "-0.12506869905" "-0.374069023580435"
"gyro of body x walkingdownstairs 12" "gyro of body in direction x" "walkingdownstairs" "12" "-0.112531564434783" "-0.362143061643478"
"gyro of body x walkingdownstairs 13" "gyro of body in direction x" "walkingdownstairs" "13" "-0.122672201757447" "-0.417014161553191"
"gyro of body x walkingdownstairs 14" "gyro of body in direction x" "walkingdownstairs" "14" "-0.0147079653333333" "-0.354551638377778"
"gyro of body x walkingdownstairs 15" "gyro of body in direction x" "walkingdownstairs" "15" "-0.136618653071429" "-0.318692525928571"
"gyro of body x walkingdownstairs 16" "gyro of body in direction x" "walkingdownstairs" "16" "-0.0225373369978723" "-0.45418847106383"
"gyro of body x walkingdownstairs 17" "gyro of body in direction x" "walkingdownstairs" "17" "0.0677728390673913" "-0.370436868891304"
"gyro of body x walkingdownstairs 18" "gyro of body in direction x" "walkingdownstairs" "18" "-0.0576548655654545" "-0.502473033509091"
"gyro of body x walkingdownstairs 19" "gyro of body in direction x" "walkingdownstairs" "19" "-0.205775427307692" "0.267657219333333"
"gyro of body x walkingdownstairs 20" "gyro of body in direction x" "walkingdownstairs" "20" "-0.111367747557778" "-0.204939567711111"
"gyro of body x walkingdownstairs 21" "gyro of body in direction x" "walkingdownstairs" "21" "-0.126388023595556" "-0.442148617666667"
"gyro of body x walkingdownstairs 22" "gyro of body in direction x" "walkingdownstairs" "22" "-0.0779611213138889" "-0.237349190997222"
"gyro of body x walkingdownstairs 23" "gyro of body in direction x" "walkingdownstairs" "23" "-0.0578230190203704" "-0.416133032777778"
"gyro of body x walkingdownstairs 24" "gyro of body in direction x" "walkingdownstairs" "24" "-0.0867069010690909" "-0.431919067945455"
"gyro of body x walkingdownstairs 25" "gyro of body in direction x" "walkingdownstairs" "25" "0.00299112856551724" "-0.288824754586207"
"gyro of body x walkingdownstairs 26" "gyro of body in direction x" "walkingdownstairs" "26" "-0.010752208236" "-0.33131291446"
"gyro of body x walkingdownstairs 27" "gyro of body in direction x" "walkingdownstairs" "27" "-0.159826551905227" "-0.363722908386364"
"gyro of body x walkingdownstairs 28" "gyro of body in direction x" "walkingdownstairs" "28" "-0.141096309502174" "-0.268106330991304"
"gyro of body x walkingdownstairs 29" "gyro of body in direction x" "walkingdownstairs" "29" "-0.0374126070957292" "-0.282077257508333"
"gyro of body x walkingdownstairs 30" "gyro of body in direction x" "walkingdownstairs" "30" "-0.0745591301759677" "-0.265923160895161"
"gyro of body x walkingupstairs 1" "gyro of body in direction x" "walkingupstairs" "1" "0.050549379754717" "-0.544871104528302"
"gyro of body x walkingupstairs 2" "gyro of body in direction x" "walkingupstairs" "2" "-0.0576912634583333" "-0.439253058958333"
"gyro of body x walkingupstairs 3" "gyro of body in direction x" "walkingupstairs" "3" "0.0721980309322034" "-0.456039262525424"
"gyro of body x walkingupstairs 4" "gyro of body in direction x" "walkingupstairs" "4" "0.0393825198942308" "-0.454431043269231"
"gyro of body x walkingupstairs 5" "gyro of body in direction x" "walkingupstairs" "5" "0.0395191121489362" "-0.443342262340426"
"gyro of body x walkingupstairs 6" "gyro of body in direction x" "walkingupstairs" "6" "-0.0767406825588235" "-0.321973723647059"
"gyro of body x walkingupstairs 7" "gyro of body in direction x" "walkingupstairs" "7" "-0.138778108029412" "-0.363853236862745"
"gyro of body x walkingupstairs 8" "gyro of body in direction x" "walkingupstairs" "8" "0.19270447595122" "-0.367428367219512"
"gyro of body x walkingupstairs 9" "gyro of body in direction x" "walkingupstairs" "9" "-0.16396719" "-0.343976630734694"
"gyro of body x walkingupstairs 10" "gyro of body in direction x" "walkingupstairs" "10" "0.0733447168425532" "-0.308534708121277"
"gyro of body x walkingupstairs 11" "gyro of body in direction x" "walkingupstairs" "11" "-0.0820909701727778" "-0.501331630185185"
"gyro of body x walkingupstairs 12" "gyro of body in direction x" "walkingupstairs" "12" "-0.0931234101769231" "-0.526659296134615"
"gyro of body x walkingupstairs 13" "gyro of body in direction x" "walkingupstairs" "13" "-0.13829376226" "-0.541066687090909"
"gyro of body x walkingupstairs 14" "gyro of body in direction x" "walkingupstairs" "14" "0.0813841685037037" "-0.454283337592593"
"gyro of body x walkingupstairs 15" "gyro of body in direction x" "walkingupstairs" "15" "0.0903340029875" "-0.415251317916667"
"gyro of body x walkingupstairs 16" "gyro of body in direction x" "walkingupstairs" "16" "0.0718408878078431" "-0.508087166666667"
"gyro of body x walkingupstairs 17" "gyro of body in direction x" "walkingupstairs" "17" "-0.0304250571395833" "-0.496562732729167"
"gyro of body x walkingupstairs 18" "gyro of body in direction x" "walkingupstairs" "18" "-0.0470683915017241" "-0.593841504137931"
"gyro of body x walkingupstairs 19" "gyro of body in direction x" "walkingupstairs" "19" "0.0388537087875" "-0.4068000325"
"gyro of body x walkingupstairs 20" "gyro of body in direction x" "walkingupstairs" "20" "0.0659193258862745" "-0.492701193921569"
"gyro of body x walkingupstairs 21" "gyro of body in direction x" "walkingupstairs" "21" "0.062608688893617" "-0.53190941893617"
"gyro of body x walkingupstairs 22" "gyro of body in direction x" "walkingupstairs" "22" "0.13497880785381" "-0.301491709628571"
"gyro of body x walkingupstairs 23" "gyro of body in direction x" "walkingupstairs" "23" "0.0957940245941176" "-0.550664576666667"
"gyro of body x walkingupstairs 24" "gyro of body in direction x" "walkingupstairs" "24" "0.0883163772152542" "-0.577426408813559"
"gyro of body x walkingupstairs 25" "gyro of body in direction x" "walkingupstairs" "25" "0.0556121923307692" "-0.489011794784615"
"gyro of body x walkingupstairs 26" "gyro of body in direction x" "walkingupstairs" "26" "-0.0247950825654545" "-0.550274396"
"gyro of body x walkingupstairs 27" "gyro of body in direction x" "walkingupstairs" "27" "-0.0940344886803922" "-0.562461004705882"
"gyro of body x walkingupstairs 28" "gyro of body in direction x" "walkingupstairs" "28" "-0.129362970764706" "-0.518818227843137"
"gyro of body x walkingupstairs 29" "gyro of body in direction x" "walkingupstairs" "29" "0.0931989463020408" "-0.323904731622449"
"gyro of body x walkingupstairs 30" "gyro of body in direction x" "walkingupstairs" "30" "-0.00355974576923077" "-0.493837520761538"
"gyro of body y laying 1" "gyro of body in direction y" "laying" "1" "-0.064486124088" "-0.9510904402"
"gyro of body y laying 2" "gyro of body in direction y" "laying" "2" "-0.111800824583333" "-0.982291608958333"
"gyro of body y laying 3" "gyro of body in direction y" "laying" "3" "-0.0718507159435484" "-0.977272653709677"
"gyro of body y laying 4" "gyro of body in direction y" "laying" "4" "-0.0930128180759259" "-0.961109291851852"
"gyro of body y laying 5" "gyro of body in direction y" "laying" "5" "-0.0798709596153846" "-0.977427370576923"
"gyro of body y laying 6" "gyro of body in direction y" "laying" "6" "-0.107218315054386" "-0.943634949473684"
"gyro of body y laying 7" "gyro of body in direction y" "laying" "7" "-0.133605695057692" "-0.945071935384615"
"gyro of body y laying 8" "gyro of body in direction y" "laying" "8" "-0.0891374138592593" "-0.952039385740741"
"gyro of body y laying 9" "gyro of body in direction y" "laying" "9" "-0.15890291983" "-0.9266185314"
"gyro of body y laying 10" "gyro of body in direction y" "laying" "10" "-0.0770325657265517" "-0.953660207586207"
"gyro of body y laying 11" "gyro of body in direction y" "laying" "11" "-0.041559989822807" "-0.982442644035088"
"gyro of body y laying 12" "gyro of body in direction y" "laying" "12" "-0.0835537350333333" "-0.953873893833333"
"gyro of body y laying 13" "gyro of body in direction y" "laying" "13" "-0.0966250701451613" "-0.96270462"
"gyro of body y laying 14" "gyro of body in direction y" "laying" "14" "-0.153423807745098" "-0.932499780588235"
"gyro of body y laying 15" "gyro of body in direction y" "laying" "15" "-0.0619700871944444" "-0.961142911805556"
"gyro of body y laying 16" "gyro of body in direction y" "laying" "16" "-0.113675060885714" "-0.970747514"
"gyro of body y laying 17" "gyro of body in direction y" "laying" "17" "-0.0944580192535211" "-0.971484336197183"
"gyro of body y laying 18" "gyro of body in direction y" "laying" "18" "-0.0837587308153846" "-0.984202872923077"
"gyro of body y laying 19" "gyro of body in direction y" "laying" "19" "-0.0952628014096386" "-0.963617705662651"
"gyro of body y laying 20" "gyro of body in direction y" "laying" "20" "-0.0954899626029412" "-0.972941910294118"
"gyro of body y laying 21" "gyro of body in direction y" "laying" "21" "-0.113800486377778" "-0.952147091444444"
"gyro of body y laying 22" "gyro of body in direction y" "laying" "22" "-0.09257231175" "-0.9618849625"
"gyro of body y laying 23" "gyro of body in direction y" "laying" "23" "-0.105052917" "-0.959195236388889"
"gyro of body y laying 24" "gyro of body in direction y" "laying" "24" "-0.0955538053611111" "-0.960299550972222"
"gyro of body y laying 25" "gyro of body in direction y" "laying" "25" "-0.0716401726150685" "-0.936630803287671"
"gyro of body y laying 26" "gyro of body in direction y" "laying" "26" "-0.0903229228815789" "-0.979325678815789"
"gyro of body y laying 27" "gyro of body in direction y" "laying" "27" "-0.0957839566891892" "-0.98428747527027"
"gyro of body y laying 28" "gyro of body in direction y" "laying" "28" "-0.097448733725" "-0.960057463625"
"gyro of body y laying 29" "gyro of body in direction y" "laying" "29" "-0.0761814357028986" "-0.992750957826087"
"gyro of body y laying 30" "gyro of body in direction y" "laying" "30" "-0.0761476351714286" "-0.966041673"
"gyro of body y sitting 1" "gyro of body in direction y" "sitting" "1" "-0.0919241549361702" "-0.966473895319149"
"gyro of body y sitting 2" "gyro of body in direction y" "sitting" "2" "-0.0599286797043478" "-0.978919526956522"
"gyro of body y sitting 3" "gyro of body in direction y" "sitting" "3" "-0.07524100275" "-0.944854571346154"
"gyro of body y sitting 4" "gyro of body in direction y" "sitting" "4" "-0.08943006108" "-0.9584681204"
"gyro of body y sitting 5" "gyro of body in direction y" "sitting" "5" "-0.0835484079545455" "-0.950064068181818"
"gyro of body y sitting 6" "gyro of body in direction y" "sitting" "6" "-0.0899083302550909" "-0.944130044727273"
"gyro of body y sitting 7" "gyro of body in direction y" "sitting" "7" "-0.03361196465625" "-0.944124336458333"
"gyro of body y sitting 8" "gyro of body in direction y" "sitting" "8" "-0.0955089236521739" "-0.97150069673913"
"gyro of body y sitting 9" "gyro of body in direction y" "sitting" "9" "-0.04142711812" "-0.9191882264"
"gyro of body y sitting 10" "gyro of body in direction y" "sitting" "10" "-0.0679993598888889" "-0.984373304814815"
"gyro of body y sitting 11" "gyro of body in direction y" "sitting" "11" "-0.0755284478679245" "-0.982249040188679"
"gyro of body y sitting 12" "gyro of body in direction y" "sitting" "12" "-0.0751980398235294" "-0.960497127647059"
"gyro of body y sitting 13" "gyro of body in direction y" "sitting" "13" "-0.0902687401836735" "-0.979668456122449"
"gyro of body y sitting 14" "gyro of body in direction y" "sitting" "14" "-0.0713478280925926" "-0.962048191666667"
"gyro of body y sitting 15" "gyro of body in direction y" "sitting" "15" "-0.0803428762830509" "-0.975321519491525"
"gyro of body y sitting 16" "gyro of body in direction y" "sitting" "16" "-0.0574525433043478" "-0.958336595507246"
"gyro of body y sitting 17" "gyro of body in direction y" "sitting" "17" "-0.0669245931234375" "-0.98612868078125"
"gyro of body y sitting 18" "gyro of body in direction y" "sitting" "18" "-0.0685796341105263" "-0.986753343859649"
"gyro of body y sitting 19" "gyro of body in direction y" "sitting" "19" "-0.0520207886438356" "-0.959758309589041"
"gyro of body y sitting 20" "gyro of body in direction y" "sitting" "20" "-0.0650689347121212" "-0.960104508636364"
"gyro of body y sitting 21" "gyro of body in direction y" "sitting" "21" "-0.0653077503317647" "-0.976380487294118"
"gyro of body y sitting 22" "gyro of body in direction y" "sitting" "22" "-0.0793617444354839" "-0.950173478548387"
"gyro of body y sitting 23" "gyro of body in direction y" "sitting" "23" "-0.0684325551029412" "-0.948109526029412"
"gyro of body y sitting 24" "gyro of body in direction y" "sitting" "24" "-0.0750132697044118" "-0.977954005147059"
"gyro of body y sitting 25" "gyro of body in direction y" "sitting" "25" "-0.0748002714615385" "-0.981193501846154"
"gyro of body y sitting 26" "gyro of body in direction y" "sitting" "26" "-0.0840648503320513" "-0.973444813846154"
"gyro of body y sitting 27" "gyro of body in direction y" "sitting" "27" "-0.0797345645214286" "-0.982067465142857"
"gyro of body y sitting 28" "gyro of body in direction y" "sitting" "28" "-0.0673943850555556" "-0.956316505972222"
"gyro of body y sitting 29" "gyro of body in direction y" "sitting" "29" "-0.0755797672133333" "-0.988334019666667"
"gyro of body y sitting 30" "gyro of body in direction y" "sitting" "30" "-0.074353558416129" "-0.976477561935484"
"gyro of body y standing 1" "gyro of body in direction y" "standing" "1" "-0.0593972209811321" "-0.98773444"
"gyro of body y standing 2" "gyro of body in direction y" "standing" "2" "-0.0820396577592593" "-0.971441996481481"
"gyro of body y standing 3" "gyro of body in direction y" "standing" "3" "-0.0585101918262295" "-0.927788618196721"
"gyro of body y standing 4" "gyro of body in direction y" "standing" "4" "-0.061824850625" "-0.949227146964286"
"gyro of body y standing 5" "gyro of body in direction y" "standing" "5" "-0.050987505" "-0.933738104107143"
"gyro of body y standing 6" "gyro of body in direction y" "standing" "6" "-0.0589823639438597" "-0.94248658631579"
"gyro of body y standing 7" "gyro of body in direction y" "standing" "7" "-0.0774336443396226" "-0.949646946792453"
"gyro of body y standing 8" "gyro of body in direction y" "standing" "8" "-0.0280117633814815" "-0.969421045555556"
"gyro of body y standing 9" "gyro of body in direction y" "standing" "9" "-0.060810158296" "-0.946046640444444"
"gyro of body y standing 10" "gyro of body in direction y" "standing" "10" "-0.0876820486363636" "-0.958861164090909"
"gyro of body y standing 11" "gyro of body in direction y" "standing" "11" "-0.0765465041914894" "-0.994210471914894"
"gyro of body y standing 12" "gyro of body in direction y" "standing" "12" "-0.0700083750360656" "-0.941469207540984"
"gyro of body y standing 13" "gyro of body in direction y" "standing" "13" "-0.0753205243684211" "-0.971721755964912"
"gyro of body y standing 14" "gyro of body in direction y" "standing" "14" "-0.05581088271" "-0.9462806205"
"gyro of body y standing 15" "gyro of body in direction y" "standing" "15" "-0.0659637517169811" "-0.971332584339623"
"gyro of body y standing 16" "gyro of body in direction y" "standing" "16" "-0.068667733" "-0.980110277307692"
"gyro of body y standing 17" "gyro of body in direction y" "standing" "17" "-0.0770632126371795" "-0.985121164615385"
"gyro of body y standing 18" "gyro of body in direction y" "standing" "18" "-0.0732260127945206" "-0.980417134246575"
"gyro of body y standing 19" "gyro of body in direction y" "standing" "19" "-0.0631429827260274" "-0.96957632369863"
"gyro of body y standing 20" "gyro of body in direction y" "standing" "20" "-0.0698308923617808" "-0.903913940684931"
"gyro of body y standing 21" "gyro of body in direction y" "standing" "21" "-0.0738115865407865" "-0.955979192696629"
"gyro of body y standing 22" "gyro of body in direction y" "standing" "22" "-0.0690067688269841" "-0.964714672857143"
"gyro of body y standing 23" "gyro of body in direction y" "standing" "23" "-0.0652264793213235" "-0.948074760882353"
"gyro of body y standing 24" "gyro of body in direction y" "standing" "24" "-0.0692546674492754" "-0.967298518695652"
"gyro of body y standing 25" "gyro of body in direction y" "standing" "25" "-0.0698876853378378" "-0.976757621081081"
"gyro of body y standing 26" "gyro of body in direction y" "standing" "26" "-0.0731385762635135" "-0.982408142702703"
"gyro of body y standing 27" "gyro of body in direction y" "standing" "27" "-0.067507120075" "-0.982498991125"
"gyro of body y standing 28" "gyro of body in direction y" "standing" "28" "-0.0739001646962025" "-0.940006320126582"
"gyro of body y standing 29" "gyro of body in direction y" "standing" "29" "-0.0721060679123077" "-0.990364876307692"
"gyro of body y standing 30" "gyro of body in direction y" "standing" "30" "-0.0670334379830509" "-0.94070541220339"
"gyro of body y walking 1" "gyro of body in direction y" "walking" "1" "-0.0695300462115789" "-0.0546077686594737"
"gyro of body y walking 2" "gyro of body in direction y" "walking" "2" "-0.0482382316949153" "-0.53845366779661"
"gyro of body y walking 3" "gyro of body in direction y" "walking" "3" "-0.0779150937413793" "-0.563793260172414"
"gyro of body y walking 4" "gyro of body in direction y" "walking" "4" "-0.0726905278583333" "-0.665394092833333"
"gyro of body y walking 5" "gyro of body in direction y" "walking" "5" "-0.0690135249642857" "-0.504622029821429"
"gyro of body y walking 6" "gyro of body in direction y" "walking" "6" "-0.0744462466" "-0.331702267894737"
"gyro of body y walking 7" "gyro of body in direction y" "walking" "7" "-0.0837113724842105" "-0.23109830545614"
"gyro of body y walking 8" "gyro of body in direction y" "walking" "8" "-0.095791790535" "-0.2119972775"
"gyro of body y walking 9" "gyro of body in direction y" "walking" "9" "-0.0625598710615385" "-0.467054167884615"
"gyro of body y walking 10" "gyro of body in direction y" "walking" "10" "-0.0819540783760943" "-0.250853318679245"
"gyro of body y walking 11" "gyro of body in direction y" "walking" "11" "-0.0705104974254237" "-0.499625287288136"
"gyro of body y walking 12" "gyro of body in direction y" "walking" "12" "-0.03442910782" "-0.4494013978"
"gyro of body y walking 13" "gyro of body in direction y" "walking" "13" "-0.0798472502663158" "-0.290023550315789"
"gyro of body y walking 14" "gyro of body in direction y" "walking" "14" "-0.0829682847966102" "-0.0148392604279661"
"gyro of body y walking 15" "gyro of body in direction y" "walking" "15" "-0.06124278833" "-0.420865007777778"
"gyro of body y walking 16" "gyro of body in direction y" "walking" "16" "-0.0695955689607843" "-0.612593634117647"
"gyro of body y walking 17" "gyro of body in direction y" "walking" "17" "-0.0839773343770492" "-0.454932903934426"
"gyro of body y walking 18" "gyro of body in direction y" "walking" "18" "-0.0613727362975" "-0.496431539642857"
"gyro of body y walking 19" "gyro of body in direction y" "walking" "19" "-0.0751569333730769" "-0.114406108840577"
"gyro of body y walking 20" "gyro of body in direction y" "walking" "20" "-0.074105054612549" "0.0858321519372549"
"gyro of body y walking 21" "gyro of body in direction y" "walking" "21" "-0.0590294439942308" "-0.397892316730769"
"gyro of body y walking 22" "gyro of body in direction y" "walking" "22" "-0.0960880731804348" "-0.486322106521739"
"gyro of body y walking 23" "gyro of body in direction y" "walking" "23" "-0.0640197920966102" "0.25945722920339"
"gyro of body y walking 24" "gyro of body in direction y" "walking" "24" "-0.0658435879913793" "-0.487166280172414"
"gyro of body y walking 25" "gyro of body in direction y" "walking" "25" "-0.0820768065347297" "-0.604032097432432"
"gyro of body y walking 26" "gyro of body in direction y" "walking" "26" "-0.0841507651508475" "-0.57573544779661"
"gyro of body y walking 27" "gyro of body in direction y" "walking" "27" "-0.0365348163649123" "-0.529865057894737"
"gyro of body y walking 28" "gyro of body in direction y" "walking" "28" "-0.0172822168012963" "-0.497684006666667"
"gyro of body y walking 29" "gyro of body in direction y" "walking" "29" "-0.081960153154717" "-0.181802636566038"
"gyro of body y walking 30" "gyro of body in direction y" "walking" "30" "-0.0649170927338462" "0.00600277892"
"gyro of body y walkingdownstairs 1" "gyro of body in direction y" "walkingdownstairs" "1" "-0.0909371290204082" "-0.126349194938775"
"gyro of body y walkingdownstairs 2" "gyro of body in direction y" "walkingdownstairs" "2" "-0.00482329231914894" "-0.415739144893617"
"gyro of body y walkingdownstairs 3" "gyro of body in direction y" "walkingdownstairs" "3" "-0.0139358043959184" "-0.546740387959184"
"gyro of body y walkingdownstairs 4" "gyro of body in direction y" "walkingdownstairs" "4" "-0.0704025952333333" "-0.699453537111111"
"gyro of body y walkingdownstairs 5" "gyro of body in direction y" "walkingdownstairs" "5" "-0.0707805998787234" "-0.409134149148936"
"gyro of body y walkingdownstairs 6" "gyro of body in direction y" "walkingdownstairs" "6" "-0.0341782208604167" "-0.18922957"
"gyro of body y walkingdownstairs 7" "gyro of body in direction y" "walkingdownstairs" "7" "-0.049717460606383" "-0.29262613606383"
"gyro of body y walkingdownstairs 8" "gyro of body in direction y" "walkingdownstairs" "8" "-0.0500760173342105" "0.0243131207736842"
"gyro of body y walkingdownstairs 9" "gyro of body in direction y" "walkingdownstairs" "9" "-0.0712598843142857" "-0.340765233142857"
"gyro of body y walkingdownstairs 10" "gyro of body in direction y" "walkingdownstairs" "10" "-0.106742538831579" "-0.311407525263158"
"gyro of body y walkingdownstairs 11" "gyro of body in direction y" "walkingdownstairs" "11" "-0.0262775345369565" "-0.495911719565217"
"gyro of body y walkingdownstairs 12" "gyro of body in direction y" "walkingdownstairs" "12" "-0.0427336692521739" "-0.47628774326087"
"gyro of body y walkingdownstairs 13" "gyro of body in direction y" "walkingdownstairs" "13" "-0.0237205719148936" "-0.198848161170213"
"gyro of body y walkingdownstairs 14" "gyro of body in direction y" "walkingdownstairs" "14" "-0.0945288409066667" "0.0569902222622222"
"gyro of body y walkingdownstairs 15" "gyro of body in direction y" "walkingdownstairs" "15" "-0.0346755727619048" "-0.37320816"
"gyro of body y walkingdownstairs 16" "gyro of body in direction y" "walkingdownstairs" "16" "-0.068264792706383" "-0.528329304680851"
"gyro of body y walkingdownstairs 17" "gyro of body in direction y" "walkingdownstairs" "17" "-0.123517195928261" "-0.459281989565217"
"gyro of body y walkingdownstairs 18" "gyro of body in direction y" "walkingdownstairs" "18" "-0.0636214336761818" "-0.617230786"
"gyro of body y walkingdownstairs 19" "gyro of body in direction y" "walkingdownstairs" "19" "0.0274707556666667" "0.0483147743589744"
"gyro of body y walkingdownstairs 20" "gyro of body in direction y" "walkingdownstairs" "20" "0.0139023395111111" "-0.146794177311111"
"gyro of body y walkingdownstairs 21" "gyro of body in direction y" "walkingdownstairs" "21" "0.0162145300888889" "-0.353733478222222"
"gyro of body y walkingdownstairs 22" "gyro of body in direction y" "walkingdownstairs" "22" "-0.0697154455833333" "-0.550303216666667"
"gyro of body y walkingdownstairs 23" "gyro of body in direction y" "walkingdownstairs" "23" "-0.0853077464277778" "0.213825552277778"
"gyro of body y walkingdownstairs 24" "gyro of body in direction y" "walkingdownstairs" "24" "-0.0542300245127273" "-0.484673524"
"gyro of body y walkingdownstairs 25" "gyro of body in direction y" "walkingdownstairs" "25" "-0.101115076366897" "-0.523377914655172"
"gyro of body y walkingdownstairs 26" "gyro of body in direction y" "walkingdownstairs" "26" "-0.1003822042168" "-0.4734080504"
"gyro of body y walkingdownstairs 27" "gyro of body in direction y" "walkingdownstairs" "27" "-0.0163131590545455" "-0.481813367954545"
"gyro of body y walkingdownstairs 28" "gyro of body in direction y" "walkingdownstairs" "28" "0.00710564286763044" "-0.259368686847826"
"gyro of body y walkingdownstairs 29" "gyro of body in direction y" "walkingdownstairs" "29" "-0.0851045889895833" "-0.390460137708333"
